LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
52m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
34m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
33m         Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
25m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
54m         Warning   FailedScheduling               pod/generic-frontend-8-fmgn4-pz82t-zspnq                0/4 nodes are available: 4 Insufficient cpu.
54m         Normal    TriggeredScaleUp               pod/generic-frontend-8-fmgn4-pz82t-zspnq                pod triggered scale-up: [{eksctl-Olga-test-new-16335d957-979a-4fb8-abf2-612ac53c7c5f-nodegroup-6c2a59d3-7585-46ae-9be8-fb6f56b0668b-NodeGroup-1AJH5DTLDD2JF 4->5 (max: 6)}]
53m         Warning   FailedScheduling               pod/generic-frontend-8-fmgn4-pz82t-zspnq                0/5 nodes are available: 1 node(s) had taint {node.kubernetes.io/not-ready: }, that the pod didn't tolerate, 4 Insufficient cpu.
52m         Normal    Scheduled                      pod/generic-frontend-8-fmgn4-pz82t-zspnq                Successfully assigned default/generic-frontend-8-fmgn4-pz82t-zspnq to ip-10-0-138-15.eu-west-3.compute.internal
52m         Normal    Pulling                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Pulling image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1"
52m         Normal    Pulled                         pod/generic-frontend-8-fmgn4-pz82t-zspnq                Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" in 19.67435622s
52m         Normal    Created                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Created container vault-agent-init
52m         Normal    Started                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Started container vault-agent-init
52m         Normal    Pulling                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
51m         Normal    Pulled                         pod/generic-frontend-8-fmgn4-pz82t-zspnq                Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m3.736275945s
51m         Normal    Created                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Created container jnlp
51m         Normal    Started                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Started container jnlp
51m         Normal    Pulled                         pod/generic-frontend-8-fmgn4-pz82t-zspnq                Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
51m         Normal    Created                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Created container vault-agent
51m         Normal    Started                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Started container vault-agent
49m         Normal    Killing                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Stopping container vault-agent
49m         Normal    Killing                        pod/generic-frontend-8-fmgn4-pz82t-zspnq                Stopping container jnlp
