LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
42m         Warning   NodeNotReady                   pod/aws-node-2ppc6                         Node is not ready
26m         Normal    Scheduled                      pod/aws-node-69p6c                         Successfully assigned kube-system/aws-node-69p6c to ip-10-0-140-164.eu-west-3.compute.internal
26m         Normal    Pulling                        pod/aws-node-69p6c                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
26m         Normal    Pulled                         pod/aws-node-69p6c                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.721696864s
26m         Normal    Created                        pod/aws-node-69p6c                         Created container aws-vpc-cni-init
26m         Normal    Started                        pod/aws-node-69p6c                         Started container aws-vpc-cni-init
26m         Normal    Pulling                        pod/aws-node-69p6c                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
26m         Normal    Pulled                         pod/aws-node-69p6c                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.657275468s
26m         Normal    Created                        pod/aws-node-69p6c                         Created container aws-node
26m         Normal    Started                        pod/aws-node-69p6c                         Started container aws-node
35m         Normal    Scheduled                      pod/aws-node-6tl76                         Successfully assigned kube-system/aws-node-6tl76 to ip-10-0-149-119.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/aws-node-6tl76                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-6tl76                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.445541703s
35m         Normal    Created                        pod/aws-node-6tl76                         Created container aws-vpc-cni-init
35m         Normal    Started                        pod/aws-node-6tl76                         Started container aws-vpc-cni-init
35m         Normal    Pulling                        pod/aws-node-6tl76                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-6tl76                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.519425194s
35m         Normal    Created                        pod/aws-node-6tl76                         Created container aws-node
35m         Normal    Started                        pod/aws-node-6tl76                         Started container aws-node
35m         Normal    Scheduled                      pod/aws-node-8vwj4                         Successfully assigned kube-system/aws-node-8vwj4 to ip-10-0-138-183.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/aws-node-8vwj4                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-8vwj4                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 10.038513213s
35m         Normal    Created                        pod/aws-node-8vwj4                         Created container aws-vpc-cni-init
35m         Normal    Started                        pod/aws-node-8vwj4                         Started container aws-vpc-cni-init
35m         Normal    Pulling                        pod/aws-node-8vwj4                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-8vwj4                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.786405328s
35m         Normal    Created                        pod/aws-node-8vwj4                         Created container aws-node
35m         Normal    Started                        pod/aws-node-8vwj4                         Started container aws-node
35m         Warning   Unhealthy                      pod/aws-node-8vwj4                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:22:11.310Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
28m         Normal    ScaleDown                      pod/aws-node-8vwj4                         deleting pod for node scale down
28m         Normal    Killing                        pod/aws-node-8vwj4                         Stopping container aws-node
28m         Normal    Scheduled                      pod/aws-node-b62hn                         Successfully assigned kube-system/aws-node-b62hn to ip-10-0-138-183.eu-west-3.compute.internal
28m         Normal    Pulled                         pod/aws-node-b62hn                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" already present on machine
28m         Normal    Created                        pod/aws-node-b62hn                         Created container aws-vpc-cni-init
28m         Normal    Started                        pod/aws-node-b62hn                         Started container aws-vpc-cni-init
28m         Normal    Pulled                         pod/aws-node-b62hn                         Container image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" already present on machine
28m         Normal    Created                        pod/aws-node-b62hn                         Created container aws-node
28m         Normal    Started                        pod/aws-node-b62hn                         Started container aws-node
28m         Warning   Unhealthy                      pod/aws-node-b62hn                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:29:22.708Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
27m         Warning   NodeNotReady                   pod/aws-node-b62hn                         Node is not ready
42m         Warning   NodeNotReady                   pod/aws-node-bjkpm                         Node is not ready
35m         Normal    Scheduled                      pod/aws-node-dghh7                         Successfully assigned kube-system/aws-node-dghh7 to ip-10-0-153-159.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/aws-node-dghh7                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-dghh7                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 12.452884892s
35m         Normal    Created                        pod/aws-node-dghh7                         Created container aws-vpc-cni-init
35m         Normal    Started                        pod/aws-node-dghh7                         Started container aws-vpc-cni-init
35m         Normal    Pulling                        pod/aws-node-dghh7                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-dghh7                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 4.240331661s
35m         Normal    Created                        pod/aws-node-dghh7                         Created container aws-node
35m         Normal    Started                        pod/aws-node-dghh7                         Started container aws-node
26m         Warning   NodeNotReady                   pod/aws-node-dghh7                         Node is not ready
53m         Normal    Scheduled                      pod/aws-node-hsxm8                         Successfully assigned kube-system/aws-node-hsxm8 to ip-10-0-138-15.eu-west-3.compute.internal
53m         Normal    Pulling                        pod/aws-node-hsxm8                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
53m         Normal    Pulled                         pod/aws-node-hsxm8                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 10.317032135s
53m         Normal    Created                        pod/aws-node-hsxm8                         Created container aws-vpc-cni-init
53m         Normal    Started                        pod/aws-node-hsxm8                         Started container aws-vpc-cni-init
53m         Normal    Pulling                        pod/aws-node-hsxm8                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
53m         Normal    Pulled                         pod/aws-node-hsxm8                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.90997658s
53m         Normal    Created                        pod/aws-node-hsxm8                         Created container aws-node
53m         Normal    Started                        pod/aws-node-hsxm8                         Started container aws-node
53m         Warning   Unhealthy                      pod/aws-node-hsxm8                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:04:16.259Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
42m         Warning   NodeNotReady                   pod/aws-node-hsxm8                         Node is not ready
35m         Normal    Scheduled                      pod/aws-node-j5nc6                         Successfully assigned kube-system/aws-node-j5nc6 to ip-10-0-137-207.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/aws-node-j5nc6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-j5nc6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 10.425032524s
35m         Normal    Created                        pod/aws-node-j5nc6                         Created container aws-vpc-cni-init
35m         Normal    Started                        pod/aws-node-j5nc6                         Started container aws-vpc-cni-init
35m         Normal    Pulling                        pod/aws-node-j5nc6                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-j5nc6                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.764968826s
35m         Normal    Created                        pod/aws-node-j5nc6                         Created container aws-node
35m         Normal    Started                        pod/aws-node-j5nc6                         Started container aws-node
35m         Warning   Unhealthy                      pod/aws-node-j5nc6                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:22:15.113Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
42m         Warning   NodeNotReady                   pod/aws-node-vhllf                         Node is not ready
42m         Warning   NodeNotReady                   pod/aws-node-xbvxh                         Node is not ready
35m         Normal    Scheduled                      pod/aws-node-xk87k                         Successfully assigned kube-system/aws-node-xk87k to ip-10-0-147-29.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/aws-node-xk87k                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-xk87k                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.896806808s
35m         Normal    Created                        pod/aws-node-xk87k                         Created container aws-vpc-cni-init
35m         Normal    Started                        pod/aws-node-xk87k                         Started container aws-vpc-cni-init
35m         Normal    Pulling                        pod/aws-node-xk87k                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
35m         Normal    Pulled                         pod/aws-node-xk87k                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.567113445s
35m         Normal    Created                        pod/aws-node-xk87k                         Created container aws-node
35m         Normal    Started                        pod/aws-node-xk87k                         Started container aws-node
35m         Warning   Unhealthy                      pod/aws-node-xk87k                         Readiness probe failed: {"level":"info","ts":"2022-09-05T17:22:14.705Z","caller":"/usr/local/go/src/runtime/proc.go:225","msg":"timeout: failed to connect service \":50051\" within 5s"}
53m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-hsxm8
35m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-dghh7
35m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-8vwj4
35m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-j5nc6
35m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-6tl76
35m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-xk87k
28m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-b62hn
26m         Normal    SuccessfulCreate               daemonset/aws-node                         Created pod: aws-node-69p6c
44m         Normal    Killing                        pod/cluster-autoscaler-579899c6b4-5fj9b    Stopping container cluster-autoscaler
34m         Normal    Scheduled                      pod/cluster-autoscaler-579899c6b4-5xmmm    Successfully assigned kube-system/cluster-autoscaler-579899c6b4-5xmmm to ip-10-0-138-183.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/cluster-autoscaler-579899c6b4-5xmmm    Pulling image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1"
34m         Normal    Pulled                         pod/cluster-autoscaler-579899c6b4-5xmmm    Successfully pulled image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1" in 13.215476613s
34m         Normal    Created                        pod/cluster-autoscaler-579899c6b4-5xmmm    Created container cluster-autoscaler
34m         Normal    Started                        pod/cluster-autoscaler-579899c6b4-5xmmm    Started container cluster-autoscaler
34m         Normal    Killing                        pod/cluster-autoscaler-579899c6b4-5xmmm    Stopping container cluster-autoscaler
44m         Normal    SuccessfulDelete               replicaset/cluster-autoscaler-579899c6b4   Deleted pod: cluster-autoscaler-579899c6b4-5fj9b
34m         Normal    SuccessfulCreate               replicaset/cluster-autoscaler-579899c6b4   Created pod: cluster-autoscaler-579899c6b4-5xmmm
34m         Normal    SuccessfulDelete               replicaset/cluster-autoscaler-579899c6b4   Deleted pod: cluster-autoscaler-579899c6b4-5xmmm
34m         Normal    Scheduled                      pod/cluster-autoscaler-58cc7d6cb6-rmqmp    Successfully assigned kube-system/cluster-autoscaler-58cc7d6cb6-rmqmp to ip-10-0-149-119.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/cluster-autoscaler-58cc7d6cb6-rmqmp    Pulling image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1"
34m         Normal    Pulled                         pod/cluster-autoscaler-58cc7d6cb6-rmqmp    Successfully pulled image "hub.simloudcorp.customers.simloud.com/k8s-artifacts-prod/autoscaling/cluster-autoscaler:v1.21.1" in 16.748350071s
34m         Normal    Created                        pod/cluster-autoscaler-58cc7d6cb6-rmqmp    Created container cluster-autoscaler
34m         Normal    Started                        pod/cluster-autoscaler-58cc7d6cb6-rmqmp    Started container cluster-autoscaler
34m         Normal    SuccessfulCreate               replicaset/cluster-autoscaler-58cc7d6cb6   Created pod: cluster-autoscaler-58cc7d6cb6-rmqmp
54m         Normal    ScaledUpGroup                  configmap/cluster-autoscaler-status        Scale-up: setting group eksctl-Olga-test-new-16335d957-979a-4fb8-abf2-612ac53c7c5f-nodegroup-6c2a59d3-7585-46ae-9be8-fb6f56b0668b-NodeGroup-1AJH5DTLDD2JF size to 5
28m         Normal    ScaleDown                      configmap/cluster-autoscaler-status        Scale-down: removing node ip-10-0-138-183.eu-west-3.compute.internal, utilization: {0.4792746113989637 0.2261777461460521 0 cpu 0.4792746113989637}, pods to reschedule: kube-system/coredns-9b5d74bfb-fqtwm,kube-system/consul-server-2,kube-system/vault-agent-injector-57d87ff44f-b282n,kube-system/metrics-server-645499f5cf-vz98f
34m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled up replica set cluster-autoscaler-579899c6b4 to 1
34m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled down replica set cluster-autoscaler-579899c6b4 to 0
34m         Normal    ScalingReplicaSet              deployment/cluster-autoscaler              Scaled up replica set cluster-autoscaler-58cc7d6cb6 to 1
33m         Normal    LeaderElection                 lease/cluster-autoscaler                   cluster-autoscaler-58cc7d6cb6-rmqmp became leader
44m         Normal    Killing                        pod/consul-6l4bb                           Stopping container consul
54m         Warning   Unhealthy                      pod/consul-9472n                           Readiness probe failed:
44m         Normal    Killing                        pod/consul-9472n                           Stopping container consul
34m         Normal    Scheduled                      pod/consul-d4vsk                           Successfully assigned kube-system/consul-d4vsk to ip-10-0-153-159.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/consul-d4vsk                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
34m         Normal    Pulled                         pod/consul-d4vsk                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 16.462923316s
34m         Normal    Created                        pod/consul-d4vsk                           Created container consul
34m         Normal    Started                        pod/consul-d4vsk                           Started container consul
28m         Warning   Unhealthy                      pod/consul-d4vsk                           Readiness probe failed:
26m         Warning   NodeNotReady                   pod/consul-d4vsk                           Node is not ready
34m         Normal    Scheduled                      pod/consul-dm7nq                           Successfully assigned kube-system/consul-dm7nq to ip-10-0-147-29.eu-west-3.compute.internal
34m         Normal    Pulling                        pod/consul-dm7nq                           Pulling image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0"
34m         Normal    Pulled                         pod/consul-dm7nq                           Successfully pulled image "hub.simloudcorp.customers.simloud.com/hashicorp/consul:1.10.0" in 26.538567125s
34m         Normal    Created                        pod/consul-dm7nq                           Created container consul
34m         Normal    Started                        pod/consul-dm7nq                           Started container consul
27m         Warning   Unhealthy                      pod/consul-dm7nq                           Readiness probe failed:
25m         Warning   FailedToUpdateEndpoint         endpoints/consul-dns                       Failed to update endpoint kube-system/consul-dns: Operation cannot be fulfilled on endpoints "consul-dns": the object has been modified; please apply your changes to the latest version and try again
25m         Warning   FailedToUpdateEndpointSlices   service/consul-dns                         Error updating Endpoint Slices for Service kube-system/consul-dns: node "ip-10-0-153-159.eu-west-3.compute.internal" not found
