LAST SEEN   TYPE      REASON                         OBJECT                                                MESSAGE
38m         Normal    CREATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
38m         Normal    CREATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
38m         Normal    CREATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
38m         Normal    CREATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
37m         Normal    UPDATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
37m         Normal    UPDATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
37m         Normal    UPDATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
37m         Normal    UPDATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
35m         Normal    CREATE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
27m         Normal    DELETE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
27m         Normal    DELETE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
27m         Normal    DELETE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
27m         Normal    DELETE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
27m         Normal    DELETE                         ingress/fe-canaveral                                  Ingress default/fe-canaveral
59m         Normal    Scheduled                      pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Successfully assigned default/generic-frontend-4-hq1lf-15x8h-w6ls8 to ip-10-0-133-141.eu-west-2.compute.internal
59m         Normal    Pulling                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Pulling image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1"
59m         Normal    Pulled                         pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" in 15.654764252s
59m         Normal    Created                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Created container vault-agent-init
59m         Normal    Started                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Started container vault-agent-init
59m         Normal    Pulling                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
58m         Normal    Pulled                         pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m11.655570699s
57m         Normal    Created                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Created container jnlp
57m         Normal    Started                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Started container jnlp
57m         Normal    Pulled                         pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
57m         Normal    Created                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Created container vault-agent
57m         Normal    Started                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Started container vault-agent
55m         Normal    Killing                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Stopping container jnlp
55m         Normal    Killing                        pod/generic-frontend-4-hq1lf-15x8h-w6ls8              Stopping container vault-agent
28m         Normal    Scheduled                      pod/generic-frontend-5-6lfq4-61bvc-53d3m              Successfully assigned default/generic-frontend-5-6lfq4-61bvc-53d3m to ip-10-0-140-78.eu-west-2.compute.internal
28m         Normal    Pulling                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Pulling image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1"
28m         Normal    Pulled                         pod/generic-frontend-5-6lfq4-61bvc-53d3m              Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" in 12.557997554s
28m         Normal    Created                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Created container vault-agent-init
28m         Normal    Started                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Started container vault-agent-init
28m         Normal    Pulling                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
27m         Normal    Pulled                         pod/generic-frontend-5-6lfq4-61bvc-53d3m              Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m3.607143946s
27m         Normal    Created                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Created container jnlp
27m         Normal    Started                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Started container jnlp
27m         Normal    Pulled                         pod/generic-frontend-5-6lfq4-61bvc-53d3m              Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
27m         Normal    Created                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Created container vault-agent
27m         Normal    Started                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Started container vault-agent
27m         Normal    Killing                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Stopping container jnlp
27m         Normal    Killing                        pod/generic-frontend-5-6lfq4-61bvc-53d3m              Stopping container vault-agent
28m         Normal    Scheduled                      pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Successfully assigned default/generic-kubernetes-10-fx0f4-1h5mw-7l46r to ip-10-0-137-244.eu-west-2.compute.internal
28m         Normal    Pulled                         pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
28m         Normal    Created                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Created container vault-agent-init
28m         Normal    Started                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Started container vault-agent-init
28m         Normal    Pulling                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
27m         Normal    Pulled                         pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m5.953413017s
27m         Normal    Created                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Created container jnlp
27m         Normal    Started                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Started container jnlp
27m         Normal    Pulled                         pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
27m         Normal    Created                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Created container vault-agent
27m         Normal    Started                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Started container vault-agent
25m         Normal    Killing                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Stopping container jnlp
25m         Normal    Killing                        pod/generic-kubernetes-10-fx0f4-1h5mw-7l46r           Stopping container vault-agent
55m         Normal    Scheduled                      pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Successfully assigned default/generic-kubernetes-7-dt2p0-ch574-v5zf0 to ip-10-0-133-141.eu-west-2.compute.internal
55m         Normal    Pulled                         pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Created container vault-agent-init
55m         Normal    Started                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Started container vault-agent-init
55m         Normal    Pulled                         pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Created container jnlp
55m         Normal    Started                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Started container jnlp
55m         Normal    Pulled                         pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Created container vault-agent
55m         Normal    Started                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Started container vault-agent
52m         Normal    Killing                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Stopping container jnlp
52m         Normal    Killing                        pod/generic-kubernetes-7-dt2p0-ch574-v5zf0            Stopping container vault-agent
55m         Normal    Scheduled                      pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Successfully assigned default/generic-kubernetes-8-85k9f-td6c3-81n9n to ip-10-0-139-89.eu-west-2.compute.internal
55m         Normal    Pulled                         pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Created container vault-agent-init
55m         Normal    Started                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Started container vault-agent-init
55m         Normal    Pulled                         pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Created container jnlp
55m         Normal    Started                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Started container jnlp
55m         Normal    Pulled                         pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
55m         Normal    Created                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Created container vault-agent
55m         Normal    Started                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Started container vault-agent
52m         Normal    Killing                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Stopping container jnlp
52m         Normal    Killing                        pod/generic-kubernetes-8-85k9f-td6c3-81n9n            Stopping container vault-agent
28m         Normal    Scheduled                      pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Successfully assigned default/generic-kubernetes-9-2d3h5-c70zj-rfx0c to ip-10-0-151-108.eu-west-2.compute.internal
28m         Normal    Pulled                         pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
28m         Normal    Created                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Created container vault-agent-init
28m         Normal    Started                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Started container vault-agent-init
28m         Normal    Pulling                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
27m         Normal    Pulled                         pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m7.356211078s
27m         Normal    Created                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Created container jnlp
27m         Normal    Started                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Started container jnlp
27m         Normal    Pulled                         pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
27m         Normal    Created                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Created container vault-agent
27m         Normal    Started                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Started container vault-agent
25m         Normal    Killing                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Stopping container vault-agent
25m         Normal    Killing                        pod/generic-kubernetes-9-2d3h5-c70zj-rfx0c            Stopping container jnlp
26m         Normal    Scheduled                      pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Successfully assigned default/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c to ip-10-0-140-78.eu-west-2.compute.internal
26m         Normal    Pulled                         pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
26m         Normal    Created                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Created container vault-agent-init
26m         Normal    Started                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Started container vault-agent-init
26m         Normal    Pulled                         pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
26m         Normal    Created                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Created container jnlp
26m         Normal    Started                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Started container jnlp
26m         Normal    Pulled                         pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
26m         Normal    Created                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Created container vault-agent
26m         Normal    Started                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Started container vault-agent
25m         Normal    Killing                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Stopping container jnlp
25m         Normal    Killing                        pod/generic-kubernetes-deploy-10-r26vj-v1pg6-nwt6c    Stopping container vault-agent
53m         Normal    Scheduled                      pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Successfully assigned default/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t to ip-10-0-133-141.eu-west-2.compute.internal
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Created container vault-agent-init
53m         Normal    Started                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Started container vault-agent-init
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Created container jnlp
53m         Normal    Started                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Started container jnlp
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Created container vault-agent
53m         Normal    Started                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Started container vault-agent
52m         Normal    Killing                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Stopping container jnlp
52m         Normal    Killing                        pod/generic-kubernetes-deploy-7-zh21p-7kthx-hhn3t     Stopping container vault-agent
53m         Normal    Scheduled                      pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Successfully assigned default/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs to ip-10-0-139-89.eu-west-2.compute.internal
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Created container vault-agent-init
53m         Normal    Started                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Started container vault-agent-init
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Created container jnlp
53m         Normal    Started                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Started container jnlp
53m         Normal    Pulled                         pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
53m         Normal    Created                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Created container vault-agent
53m         Normal    Started                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Started container vault-agent
52m         Normal    Killing                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Stopping container jnlp
52m         Normal    Killing                        pod/generic-kubernetes-deploy-8-tr2jv-l2d8v-7jsgs     Stopping container vault-agent
26m         Normal    Scheduled                      pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Successfully assigned default/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc to ip-10-0-155-246.eu-west-2.compute.internal
26m         Normal    Pulled                         pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
26m         Normal    Created                        pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Created container vault-agent-init
26m         Normal    Started                        pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Started container vault-agent-init
26m         Normal    Pulled                         pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Container image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" already present on machine
26m         Normal    Created                        pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Created container jnlp
26m         Normal    Started                        pod/generic-kubernetes-deploy-9-h1305-fvcgm-h71xc     Started container jnlp
