LAST SEEN   TYPE      REASON                         OBJECT                                     MESSAGE
28m         Warning   NodeNotReady                   pod/aws-node-48t5z                         Node is not ready
54m         Normal    Scheduled                      pod/aws-node-4gtff                         Successfully assigned kube-system/aws-node-4gtff to ip-10-1-52-192.eu-west-3.compute.internal
54m         Normal    Pulling                        pod/aws-node-4gtff                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
54m         Normal    Pulled                         pod/aws-node-4gtff                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.392611983s
54m         Normal    Created                        pod/aws-node-4gtff                         Created container aws-vpc-cni-init
54m         Normal    Started                        pod/aws-node-4gtff                         Started container aws-vpc-cni-init
54m         Normal    Pulling                        pod/aws-node-4gtff                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
54m         Normal    Pulled                         pod/aws-node-4gtff                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.538912283s
54m         Normal    Created                        pod/aws-node-4gtff                         Created container aws-node
54m         Normal    Started                        pod/aws-node-4gtff                         Started container aws-node
40m         Normal    ScaleDown                      pod/aws-node-4gtff                         deleting pod for node scale down
40m         Normal    Killing                        pod/aws-node-4gtff                         Stopping container aws-node
21m         Normal    Scheduled                      pod/aws-node-7hqlb                         Successfully assigned kube-system/aws-node-7hqlb to ip-10-1-62-180.eu-west-3.compute.internal
21m         Normal    Pulling                        pod/aws-node-7hqlb                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-7hqlb                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni-init:v1.10.1-eksbuild.1" in 9.522026934s
21m         Normal    Created                        pod/aws-node-7hqlb                         Created container aws-vpc-cni-init
21m         Normal    Started                        pod/aws-node-7hqlb                         Started container aws-vpc-cni-init
21m         Normal    Pulling                        pod/aws-node-7hqlb                         Pulling image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1"
21m         Normal    Pulled                         pod/aws-node-7hqlb                         Successfully pulled image "602401143452.dkr.ecr.eu-west-3.amazonaws.com/amazon-k8s-cni:v1.10.1-eksbuild.1" in 2.487414524s
21m         Normal    Created                        pod/aws-node-7hqlb                         Created container aws-node
21m         Normal    Started                        pod/aws-node-7hqlb                         Started container aws-node
