LAST SEEN   TYPE      REASON                         OBJECT                                                  MESSAGE
53m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
47m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
37m         Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
34m         Normal    DELETE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
34m         Normal    DELETE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
34m         Normal    DELETE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
34m         Normal    DELETE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m40s       Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m40s       Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m40s       Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m40s       Normal    CREATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m25s       Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m25s       Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m25s       Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
5m25s       Normal    UPDATE                         ingress/fe-canaveral                                    Ingress default/fe-canaveral
48m         Warning   FailedScheduling               pod/generic-frontend-15-xm337-tg8pr-b558h               0/4 nodes are available: 4 Insufficient cpu.
49m         Normal    TriggeredScaleUp               pod/generic-frontend-15-xm337-tg8pr-b558h               pod triggered scale-up: [{eksctl-Olga-olga-new-1259e40f2-c525-4acc-9849-3983bc91e9b6-nodegroup-61bb1b32-d5dd-4f04-83bb-256a7dd8615c-NodeGroup-1RLXJSW61L9SQ 4->5 (max: 6)}]
47m         Warning   FailedScheduling               pod/generic-frontend-15-xm337-tg8pr-b558h               0/5 nodes are available: 1 node(s) had taint {node.kubernetes.io/not-ready: }, that the pod didn't tolerate, 4 Insufficient cpu.
47m         Normal    Scheduled                      pod/generic-frontend-15-xm337-tg8pr-b558h               Successfully assigned default/generic-frontend-15-xm337-tg8pr-b558h to ip-10-1-1-25.eu-west-3.compute.internal
47m         Normal    Pulling                        pod/generic-frontend-15-xm337-tg8pr-b558h               Pulling image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1"
47m         Normal    Pulled                         pod/generic-frontend-15-xm337-tg8pr-b558h               Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" in 18.855392574s
47m         Normal    Created                        pod/generic-frontend-15-xm337-tg8pr-b558h               Created container vault-agent-init
47m         Normal    Started                        pod/generic-frontend-15-xm337-tg8pr-b558h               Started container vault-agent-init
47m         Normal    Pulling                        pod/generic-frontend-15-xm337-tg8pr-b558h               Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
46m         Normal    Pulled                         pod/generic-frontend-15-xm337-tg8pr-b558h               Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 1m2.064939914s
46m         Normal    Created                        pod/generic-frontend-15-xm337-tg8pr-b558h               Created container jnlp
46m         Normal    Started                        pod/generic-frontend-15-xm337-tg8pr-b558h               Started container jnlp
46m         Normal    Pulled                         pod/generic-frontend-15-xm337-tg8pr-b558h               Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
46m         Normal    Created                        pod/generic-frontend-15-xm337-tg8pr-b558h               Created container vault-agent
46m         Normal    Started                        pod/generic-frontend-15-xm337-tg8pr-b558h               Started container vault-agent
43m         Normal    Killing                        pod/generic-frontend-15-xm337-tg8pr-b558h               Stopping container jnlp
43m         Normal    Killing                        pod/generic-frontend-15-xm337-tg8pr-b558h               Stopping container vault-agent
35m         Normal    Scheduled                      pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Successfully assigned default/generic-frontend-16-j5xbf-bsnjl-vhm0n to ip-10-1-38-3.eu-west-3.compute.internal
35m         Normal    Pulling                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Pulling image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1"
35m         Normal    Pulled                         pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" in 6.845832512s
35m         Normal    Created                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Created container vault-agent-init
35m         Normal    Started                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Started container vault-agent-init
35m         Normal    Pulling                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Pulling image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11"
34m         Normal    Pulled                         pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Successfully pulled image "hub.simloudcorp.customers.simloud.com/simloud/jenkins-slave/jenkins-slave:4.13.2-1-2342-jdk11" in 57.649206372s
34m         Normal    Created                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Created container jnlp
34m         Normal    Started                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Started container jnlp
34m         Normal    Pulled                         pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Container image "hub.simloudcorp.customers.simloud.com/simloud/vault/vault:1.9.2-1" already present on machine
34m         Normal    Created                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Created container vault-agent
34m         Normal    Started                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Started container vault-agent
34m         Normal    Killing                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Stopping container jnlp
34m         Normal    Killing                        pod/generic-frontend-16-j5xbf-bsnjl-vhm0n               Stopping container vault-agent
7m34s       Normal    Scheduled                      pod/generic-frontend-17-r521t-krjxr-0rpd3               Successfully assigned default/generic-frontend-17-r521t-krjxr-0rpd3 to ip-10-1-51-246.eu-west-3.compute.internal
